Datum;Wochentag;Umsatz
03.08.2017;Donnerstag;2013
04.08.2017;Freitag;3539.5
05.08.2017;Samstag;2021
06.08.2017;Sonntag;2119
07.08.2017;Montag;1770.5
08.08.2017;Dienstag;1633.5
09.08.2017;Mittwoch;2426.85
10.08.2017;Donnerstag;2148.5
11.08.2017;Freitag;2585.5
12.08.2017;Samstag;4499.37
13.08.2017;Sonntag;3829.85
14.08.2017;Montag;2880
15.08.2017;Dienstag;1517.5
16.08.2017;Mittwoch;1775
17.08.2017;Donnerstag;2254.4
18.08.2017;Freitag;2507.5
19.08.2017;Samstag;2869
20.08.2017;Sonntag;2593
21.08.2017;Montag;3613.5
22.08.2017;Dienstag;2379.5
23.08.2017;Mittwoch;2767.5
24.08.2017;Donnerstag;1417.3
25.08.2017;Freitag;2784.69
26.08.2017;Samstag;1873
27.08.2017;Sonntag;1785
28.08.2017;Montag;2093.75
29.08.2017;Dienstag;1592.5
30.08.2017;Mittwoch;1038.5
31.08.2017;Donnerstag;2402.25
01.09.2017;Freitag;3123.05
02.09.2017;Samstag;2838.5
03.09.2017;Sonntag;2174
04.09.2017;Montag;1685.5
05.09.2017;Dienstag;1158.45
06.09.2017;Mittwoch;1518.5
07.09.2017;Donnerstag;4593.5
08.09.2017;Freitag;2537.5
09.09.2017;Samstag;3694.5
10.09.2017;Sonntag;4950
11.09.2017;Montag;853.5
12.09.2017;Dienstag;1993
13.09.2017;Mittwoch;2633
14.09.2017;Donnerstag;3295.95
15.09.2017;Freitag;2264.1
16.09.2017;Samstag;1573.5
17.09.2017;Sonntag;3949
18.09.2017;Montag;2508.2
